,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³)
102,2020-04-12 00:00:00,88.46,126.18,7.06,8.51,9.41,25.16,18.46,0.89,35.3
103,2020-04-13 00:00:00,103.26,156.3,16.94,11.12,18.06,31.19,20.27,1.01,37.83
104,2020-04-14 00:00:00,102.1,150.45,15.01,10.9,16.51,38.31,21.2,1.02,33.16
105,2020-04-15 00:00:00,87.64,117.98,13.63,10.43,15.14,37.39,19.89,0.78,22.78
106,2020-04-16 00:00:00,37.22,53.88,2.8,6.44,5.23,28.35,18.56,0.41,35.25
107,2020-04-17 00:00:00,18.7,32.27,2.75,6.57,5.25,27.82,17.5,0.29,24.02
108,2020-04-18 00:00:00,18.77,26.75,3.1,6.75,5.59,22.82,16.69,0.33,28.01
109,2020-04-19 00:00:00,35.67,46.42,3.76,5.42,5.45,25.57,16.93,0.45,24.89
110,2020-04-20 00:00:00,20.93,30.89,1.61,6.63,4.43,19.63,15.58,0.37,39.62
111,2020-04-21 00:00:00,15.09,28.22,1.87,5.9,4.28,11.64,13.92,0.34,31.67
112,2020-04-22 00:00:00,24.0,35.62,3.16,7.18,5.85,9.72,13.94,0.4,24.73
113,2020-04-23 00:00:00,26.13,49.94,1.84,6.61,4.59,10.05,13.86,0.37,33.28
114,2020-04-24 00:00:00,12.78,25.17,0.63,3.4,2.13,5.8,13.88,0.25,41.51
115,2020-04-25 00:00:00,13.02,18.77,0.84,3.91,2.53,3.29,13.88,0.25,42.56
116,2020-04-26 00:00:00,20.96,33.17,1.71,7.15,4.75,2.59,13.97,0.36,35.79
117,2020-04-27 00:00:00,26.34,40.28,5.83,10.19,9.32,2.47,14.18,0.41,32.82
118,2020-04-28 00:00:00,25.15,39.26,1.12,9.19,5.3,4.02,14.2,0.41,38.79
119,2020-04-29 00:00:00,24.83,43.4,2.36,6.97,5.15,3.42,14.07,0.41,28.92
120,2020-04-30 00:00:00,24.82,37.76,2.08,7.98,5.43,4.7,14.0,0.41,30.49
121,2020-05-01 00:00:00,22.41,32.06,1.94,7.78,5.22,4.17,14.09,0.39,29.05
122,2020-05-02 00:00:00,22.14,34.98,5.71,11.53,9.87,3.88,14.31,0.37,32.16
123,2020-05-03 00:00:00,19.8,42.85,1.31,7.44,4.6,3.89,14.43,0.33,39.56
124,2020-05-04 00:00:00,25.28,45.18,5.74,11.35,9.81,3.38,14.6,0.41,32.75
125,2020-05-05 00:00:00,25.76,39.38,2.4,8.5,5.93,5.38,14.49,0.38,30.8
126,2020-05-06 00:00:00,21.71,34.02,1.42,7.2,4.55,5.82,14.28,0.36,32.07
127,2020-05-07 00:00:00,23.36,35.05,1.04,7.38,4.37,4.53,14.34,0.37,27.41
128,2020-05-08 00:00:00,27.95,54.06,2.49,12.03,7.71,5.89,14.54,0.41,30.79
129,2020-05-09 00:00:00,24.24,56.28,3.51,15.56,10.19,7.07,14.68,0.41,47.59
130,2020-05-10 00:00:00,40.61,67.92,3.41,16.32,10.49,7.77,15.35,0.5,47.84
131,2020-05-11 00:00:00,48.36,82.63,7.85,24.34,17.7,8.18,15.43,0.6,38.06
132,2020-05-12 00:00:00,40.09,68.77,9.71,13.91,14.02,10.81,14.96,0.57,34.92
133,2020-05-13 00:00:00,25.46,38.93,1.31,11.23,6.45,6.58,14.8,0.4,37.63
134,2020-05-14 00:00:00,19.13,30.71,1.51,9.73,5.86,3.85,14.76,0.38,34.03
135,2020-05-15 00:00:00,18.35,26.31,1.2,6.22,3.92,3.77,14.56,0.37,33.21
136,2020-05-16 00:00:00,18.89,29.49,1.11,5.79,3.64,3.43,14.5,0.34,34.63
137,2020-05-17 00:00:00,17.28,29.05,2.85,10.37,7.17,3.75,14.53,0.36,36.7
138,2020-05-18 00:00:00,34.56,66.02,12.76,19.64,19.09,3.82,14.63,0.53,30.09
139,2020-05-19 00:00:00,48.58,84.64,10.9,18.46,17.13,5.38,14.66,1.24,32.68
140,2020-05-20 00:00:00,40.37,63.5,2.1,12.92,7.86,9.89,14.42,0.67,26.51
141,2020-05-21 00:00:00,9.97,16.03,1.33,9.07,5.4,4.09,14.69,0.25,29.34
142,2020-05-22 00:00:00,8.94,38.14,0.79,4.92,2.99,1.1,14.84,0.26,37.67
143,2020-05-23 00:00:00,13.17,22.49,1.51,6.87,4.47,1.32,14.73,0.38,24.3
144,2020-05-24 00:00:00,11.96,18.91,1.55,6.7,4.41,1.35,14.76,0.41,23.5
145,2020-05-25 00:00:00,18.03,30.01,2.35,9.92,6.58,2.79,14.8,0.42,26.8
